📡  更新日期,#genre#
2025-03-28,http://nctv.top/IDOEPpiryt/huya.php?id=11342412
📡  央视频道,#genre#

CCTV1,http://nctv.top/IDOEPpiryt/migu.php?id=cctv1
CCTV2,http://nctv.top/IDOEPpiryt/migu.php?id=cctv2
CCTV3,http://nctv.top/IDOEPpiryt/migu.php?id=cctv3
CCTV4,http://nctv.top/IDOEPpiryt/migu.php?id=cctv4
CCTV5,http://nctv.top/IDOEPpiryt/migu.php?id=cctv5
CCTV5+,http://nctv.top/IDOEPpiryt/migu.php?id=cctv5p⁭
CCTV6,http://nctv.top/IDOEPpiryt/migu.php?id=cctv6
CCTV7,http://nctv.top/IDOEPpiryt/migu.php?id=cctv7
CCTV8,http://nctv.top/IDOEPpiryt/migu.php?id=cctv8
CCTV9,http://nctv.top/IDOEPpiryt/migu.php?id=cctv9
CCTV10,http://nctv.top/IDOEPpiryt/migu.php?id=cctv10
CCTV11,http://nctv.top/IDOEPpiryt/migu.php?id=cctv11
CCTV12,http://nctv.top/IDOEPpiryt/migu.php?id=cctv12
CCTV13,http://nctv.top/IDOEPpiryt/migu.php?id=cctv13
CCTV14,http://nctv.top/IDOEPpiryt/migu.php?id=cctv14
CCTV15,http://nctv.top/IDOEPpiryt/migu.php?id=cctv15
CCTV16,http://www.erbao1981.top:8188/udp/239.76.246.98:1234
CCTV17,http://nctv.top/IDOEPpiryt/migu.php?id=cctv17
CCTV4-欧洲,http://nctv.top/IDOEPpiryt/migu.php?id=cctv4o
CCTV4-美洲,http://nctv.top/IDOEPpiryt/migu.php?id=cctv4a
CHC家庭影院,http://nctv.top/IDOEPpiryt/migu.php?id=chcjtyy
CHC动作电影,http://nctv.top/IDOEPpiryt/migu.php?id=chcdzdy


CCTV4-欧洲,rtsp://115.153.230.145/PLTV/88888888/224/3221226964/77799053.smil
CCTV4-美洲,rtsp://115.153.230.145/PLTV/88888888/224/3221226962/77799052.smil

CCTV4-欧洲,http://www.erbao1981.top:8188/udp/239.76.246.95:1234
